# ALL CHANNELS for ALL REGIONS
# 'map' == channel id == channel number  # (region id) -- channel title 
# 
# Sorted by channel number
# 
map==cbnX==0107 		# (cbgP) -- Absolute Radio 
map==cbnX==0107 		# (cbgQ) -- Absolute Radio 
map==cbnX==0107 		# (cbgR) -- Absolute Radio 
map==cbnX==0107 		# (cbgS) -- Absolute Radio 
map==cbnX==0107 		# (cbgT) -- Absolute Radio 
map==cbnX==0107 		# (cbgV) -- Absolute Radio 
map==cbnX==0107 		# (cbgW) -- Absolute Radio 
map==cbnX==0107 		# (cbgX) -- Absolute Radio 
map==cbnX==0107 		# (cbgZ) -- Absolute Radio 
map==cbnX==0107 		# (cbgY) -- Absolute Radio 
map==cbn9==0108 		# (cbfN) -- talkSPORT 
map==cbn9==0108 		# (cbfP) -- talkSPORT 
map==cbn9==0108 		# (cbfQ) -- talkSPORT 
map==cbn9==0108 		# (cbfR) -- talkSPORT 
map==cbn9==0108 		# (cbfS) -- talkSPORT 
map==cbn9==0108 		# (cbfT) -- talkSPORT 
map==cbn9==0108 		# (cbfV) -- talkSPORT 
map==cbn9==0108 		# (cbfW) -- talkSPORT 
map==cbn9==0108 		# (cbfX) -- talkSPORT 
map==cbn9==0108 		# (cbfZ) -- talkSPORT 
map==cbn9==0108 		# (cbfY) -- talkSPORT 
map==cbn9==0108 		# (cbf2) -- talkSPORT 
map==cbn9==0108 		# (cbf4) -- talkSPORT 
map==cbn9==0108 		# (cbf5) -- talkSPORT 
map==cbn9==0108 		# (cbf6) -- talkSPORT 
map==cbn9==0108 		# (cbf7) -- talkSPORT 
map==cbn9==0108 		# (cbf8) -- talkSPORT 
map==cbn9==0108 		# (cbf9) -- talkSPORT 
map==cbn9==0108 		# (cbgb) -- talkSPORT 
map==cbn9==0108 		# (cbgc) -- talkSPORT 
map==cbn9==0108 		# (cbgd) -- talkSPORT 
map==cbn9==0108 		# (cbgf) -- talkSPORT 
map==cbn9==0108 		# (cbgg) -- talkSPORT 
map==cbn9==0108 		# (cbgh) -- talkSPORT 
map==cbn9==0108 		# (cbgj) -- talkSPORT 
map==cbn9==0108 		# (cbgk) -- talkSPORT 
map==cbn9==0108 		# (cbgm) -- talkSPORT 
map==cbn9==0108 		# (cbgn) -- talkSPORT 
map==cbn9==0108 		# (cbgr) -- talkSPORT 
map==cbn9==0108 		# (cbgs) -- talkSPORT 
map==cbn9==0108 		# (cbgt) -- talkSPORT 
map==cbn9==0108 		# (cbgv) -- talkSPORT 
map==cbn9==0108 		# (cbgw) -- talkSPORT 
map==cbn9==0108 		# (cbgx) -- talkSPORT 
map==cbn9==0108 		# (cbgy) -- talkSPORT 
map==cbn9==0108 		# (cbgz) -- talkSPORT 
map==cbn9==0108 		# (cbgB) -- talkSPORT 
map==cbn9==0108 		# (cbgC) -- talkSPORT 
map==cbn9==0108 		# (cbgD) -- talkSPORT 
map==cbn9==0108 		# (cbgF) -- talkSPORT 
map==cbn9==0108 		# (cbgG) -- talkSPORT 
